Experiment Name:,151120_CGI002b_phopho_exported_populations
Primary Researcher:,Adeeb Rahman
Compensation used:,File-internal Compensation
Exported at:,December 16 2015 - 02:30 pm
Link to experiment:,https://mtsinai.cytobank.org/cytobank/experiments/15066

FCS Filename,Conditions,Individuals,SampleType,Ungated_EventCounts,Medians_Ungated_Sm147Di--(pSTAT5),Medians_Ungated_Eu153Di--(pSTAT1),Medians_Ungated_Gd156Di--(pp38),Medians_Ungated_Gd158Di--(pSTAT3),Medians_Ungated_Tb159Di--(pMAPKAP2),Medians_Ungated_Dy162Di--(pPLCg2),Medians_Ungated_Dy164Di--(IkBa),Medians_Ungated_Ho165Di--(pCREB),Medians_Ungated_Er167Di--(pERK1_2),Medians_Ungated_Lu175Di--(pS6)
151120_CGI002b_CV7100_auto_live_CD16 monocytes.fcs,auto,CV7100,CD16 monocytes,933,6.333594799041748,5.524216651916504,17.60914421081543,5.897134304046631,36.13887405395508,103.16143035888672,10.652216911315918,171.13360595703125,0.1267789602279663,6.142944812774658
151120_CGI002b_CV7100_auto_live_CD1c DCs.fcs,auto,CV7100,CD1c DCs,100,4.765504360198975,2.0351913571357727,38.36853790283203,2.7536020278930664,53.70984077453613,47.276010513305664,40.08812713623047,335.6120910644531,4.071814060211182,98.14170837402344
151120_CGI002b_CV7100_auto_live_CD4 T cells.fcs,auto,CV7100,CD4 T cells,9089,1.2667250633239746,0.0,8.739557266235352,1.0343458652496338,21.50137710571289,17.224607467651367,15.334531784057617,97.56099700927734,4.526963710784912,2.3646116256713867
151120_CGI002b_CV7100_auto_live_CD8 T cells.fcs,auto,CV7100,CD8 T cells,1720,0.9776006639003754,0.0,9.047335624694824,0.16798875480890274,19.78370952606201,18.43161106109619,11.21256160736084,104.67034530639648,3.3280123472213745,4.601403474807739
151120_CGI002b_CV7100_auto_live_NK cells.fcs,auto,CV7100,NK cells,5882,2.346870183944702,0.36462362110614777,9.471475601196289,1.0212213397026062,27.86628246307373,49.96225166320801,9.378949165344238,139.63323211669922,1.4739133715629578,2.3264788389205933
151120_CGI002b_CV7100_auto_live_NKT cells.fcs,auto,CV7100,NKT cells,4365,0.7936124205589294,0.0,6.633237838745117,0.9479109644889832,18.3804874420166,25.671213150024414,8.671300888061523,79.04647827148438,3.574054479598999,2.1359870433807373
151120_CGI002b_CV7100_auto_live_Total.fcs,auto,CV7100,Total,30257,1.9172874689102173,0.27884209156036377,10.924020767211914,1.6697770357131958,25.770536422729492,26.046215057373047,10.408689498901367,121.04869079589844,2.572908878326416,3.8889071941375732
151120_CGI002b_CV7100_auto_live_pDCs.fcs,auto,CV7100,pDCs,111,2.9047188758850098,4.4370903968811035,23.454309463500977,1.6186338663101196,50.18407440185547,28.043529510498047,9.645453453063965,178.25717163085938,1.5513746738433838,114.19786834716797
151120_CGI002b_CV7100_healthy_live_B cells.fcs,healthy,CV7100,B cells,2621,0.7222440242767334,0.0,8.636661529541016,1.8683388233184814,28.614425659179688,20.6070556640625,0.6695172190666199,69.301025390625,0.0,9.175424575805664
151120_CGI002b_CV7100_healthy_live_Basophils.fcs,healthy,CV7100,Basophils,502,8.544454097747803,2.555070638656616,29.45378875732422,1.6735961437225342,17.19827651977539,0.8097622096538544,2.953977346420288,134.8136215209961,1.9473671317100525,9.984525680541992
151120_CGI002b_CV7100_healthy_live_CD14 monocytes.fcs,healthy,CV7100,CD14 monocytes,4882,6.197502851486206,3.071837902069092,27.0394868850708,5.790543556213379,42.44445991516113,42.946847915649414,11.303247928619385,215.11095428466797,1.5890879034996033,6.153702974319458
151120_CGI002b_CV7100_healthy_live_CD16 monocytes.fcs,healthy,CV7100,CD16 monocytes,858,6.70768404006958,4.571687459945679,16.320128440856934,5.4964611530303955,36.23708534240723,98.73836135864258,10.49361801147461,146.00367736816406,0.0,3.857490658760071
151120_CGI002b_CV7100_healthy_live_CD1c DCs.fcs,healthy,CV7100,CD1c DCs,104,2.896424889564514,1.6914111375808716,22.26067543029785,2.6336443424224854,53.28401756286621,38.87016487121582,42.15959930419922,243.98251342773438,1.6613232493400574,34.264835357666016
151120_CGI002b_CV7100_healthy_live_CD4 T cells.fcs,healthy,CV7100,CD4 T cells,11882,1.228339433670044,0.0,8.104551792144775,0.9566534459590912,21.621606826782227,14.8071870803833,16.139092445373535,79.3456802368164,4.3488757610321045,1.7052446603775024
151120_CGI002b_CV7100_healthy_live_CD8 T cells.fcs,healthy,CV7100,CD8 T cells,2081,0.6395834684371948,0.0,8.066957473754883,0.4122457206249237,19.94812774658203,16.924701690673828,12.104547500610352,93.17491912841797,2.9379453659057617,3.155620813369751
151120_CGI002b_CV7100_healthy_live_NK cells.fcs,healthy,CV7100,NK cells,6352,2.273908495903015,0.3870624005794525,9.521430969238281,1.0641220808029175,27.765844345092773,46.44435501098633,9.62809133529663,132.5928726196289,1.436931550502777,2.178796887397766
151120_CGI002b_CV7100_healthy_live_NKT cells.fcs,healthy,CV7100,NKT cells,5112,0.7531675100326538,0.0,6.30505108833313,0.9696274995803833,18.908613204956055,22.123679161071777,9.036288261413574,72.89719009399414,3.3253930807113647,1.877964437007904
151120_CGI002b_CV7100_healthy_live_Total.fcs,healthy,CV7100,Total,34815,1.7914892435073853,0.14117752015590668,9.879514694213867,1.520889401435852,25.21906280517578,23.670610427856445,10.751114845275879,100.56338500976562,2.4107606410980225,2.845494031906128
151120_CGI002b_CV7100_healthy_live_pDCs.fcs,healthy,CV7100,pDCs,116,2.0566779375076294,3.5051735639572144,22.83803367614746,1.6981854438781738,49.164804458618164,27.279662132263184,9.535801887512207,177.471923828125,1.0703958868980408,135.3125762939453
