FCS Filename,SampleType,Individuals,Medians_Ungated_Sm147Di--(pSTAT5), Medians_Ungated_Eu153Di--(pSTAT1), Medians_Ungated_Gd156Di--(pp38), Medians_Ungated_Gd158Di--(pSTAT3), Medians_Ungated_Tb159Di--(pMAPKAP2), Medians_Ungated_Dy162Di--(pPLCg2), Medians_Ungated_Dy164Di--(IkBa), Medians_Ungated_Ho165Di--(pCREB), Medians_Ungated_Yb171Di--(CD161/pERK1/2), Medians_Ungated_Lu175Di--(pS6)
151030_CGI002_CV7106_singlets_CD1c DCs.fcs,CD1c DCs,CV7106,8.19549989700317,9.75050020217895,62.1399993896484,8.10150003433227,72.3125,63.4530010223388,88.2495002746582,361.335510253906,1.93849998712539,142.074005126953
151030_CGI002_CV7106_singlets_CD4 T cells.fcs,CD4 T Cells,CV7106,4.11499977111816,1.87600004673004,14.4329996109008,2.78200006484985,30.4650001525878,19.6979999542236,50.64400100708,79.1989974975586,0,0.609000027179718
151030_CGI002_CV7106_singlets_CD8 T cells.fcs,CD8 T cells,CV7106,4.05399990081787,1.72000002861022,14.826500415802,2.11249995231628,31.9344997406005,20.7504997253417,50.0084991455078,90.0634994506836,0.000500000023748725,1.48099994659423
151030_CGI002_CV7106_singlets_NK cells.fcs,NK cells,CV7106,5.5569999217987,3.68799996376037,13.9750003814697,2.94050002098083,32.9845008850097,59.767499923706,28.6335000991821,103.656997680664,4.71800017356872,0.917499989271163
151030_CGI002_CV7106_singlets_NKT cells.fcs,NKT cells,CV7106,3.75500011444091,2.39199995994567,12.0419998168945,2.49799990653991,25.3479995727539,35.3759994506835,22.4640007019042,71.3040008544921,5.55000019073486,0.444000005722045
151030_CGI002_CV7106_singlets_pDCs.fcs,pDCs,CV7106,5.1269998550415,3.19600009918212,39.3950004577636,4.00899982452392,60.3230018615722,40.076000213623,22.9179992675781,208.361999511718,0.0970000028610229,35.6720008850097
151030_CGI002_CV7107_singlets_CD14+ monocytes.fcs,CD14 monocytes,CV7107,14.9540004730224,14.3999996185302,75.7590026855468,12.2220001220703,94.5080032348632,87.0199966430664,26.1569995880126,357.154998779296,12.28600025177,120.224998474121
151030_CGI002_CV7107_singlets_CD16+ monocytes.fcs,CD16 monocytes,CV7107,13.1999998092651,21.498999595642,33.4610004425048,14.3385000228881,56.2775001525878,133.352996826171,15.5735001564025,170.15950012207,0,5.97950005531311
151030_CGI002_CV7107_singlets_B cells.fcs,B cells,CV7107,3.68200004100799,2.46800005435943,18.1709995269775,4.09950017929077,38.2255001068115,25.3599996566772,17.9014997482299,93.5940017700195,0,8.79749965667724
151030_CGI002_CV7107_singlets_Basophils.fcs,Basophils,CV7107,8.72749996185302,1.65600001811981,10.0615000724792,1.40549999475479,16.6150007247924,2.00800001621246,20.3059997558593,85.2385025024414,2.30050003528594,30.9595003128051
151030_CGI002_CV7107_singlets_CD1c DCs.fcs,CD1c DCs,CV7107,8.49250030517578,8.02050018310546,65.1925010681152,7.14499998092651,84.9699974060058,59.8635005950927,83.8680000305175,367.438995361328,2.73650002479553,179.402999877929
151030_CGI002_CV7107_singlets_CD4 T cells.fcs,CD4 T Cells,CV7107,4.35950016975402,1.75499999523162,14.4945001602172,3.00099992752075,31.6730003356933,19.2659997940063,49.8955001831054,81.0745010375976,0,0.822499990463256
151030_CGI002_CV7107_singlets_CD8 T cells.fcs,CD8 T cells,CV7107,4.41599988937377,1.74399995803833,15.2259998321533,2.30399990081787,32.2159996032714,20.8689994812011,52.1599998474121,92.4840011596679,0.15600000321865,2.07999992370605
151030_CGI002_CV7107_singlets_NK cells.fcs,NK cells,CV7107,5.90000009536743,3.57299995422363,15.4840002059936,3.1119999885559,33.3429985046386,59.898998260498,28.4379997253417,104.850997924804,5.5640001296997,1.33000004291534
151030_CGI002_CV7107_singlets_NKT cells.fcs,NKT cells,CV7107,3.74600005149841,2.13000011444091,13.6040000915527,2.50500011444091,26.3120002746582,35.375,22.9069995880126,76.0979995727539,5.82100009918212,1.08000004291534
151030_CGI002_CV7107_singlets_pDCs.fcs,pDCs,CV7107,7.57299995422363,4.44999980926513,34.9869995117187,5.20499992370605,66.1859970092773,50.6139984130859,31.4340000152587,227.619003295898,0,19.7029991149902
151030_CGI002_CV7110_singlets_CD14+ monocytes.fcs,CD14 monocytes,CV7110,18.3369998931884,21.2970008850097,63.9370002746582,17.3110008239746,91.818000793457,148.964004516601,24.8859996795654,389.18701171875,7.69799995422363,124.667999267578
151030_CGI002_CV7110_singlets_CD16+ monocytes.fcs,CD16 monocytes,CV7110,22.6620006561279,38.191499710083,34.583999633789,26.3284997940063,58.3020000457763,262.730499267578,17.0104999542236,208.302497863769,0,6.00349998474121
151030_CGI002_CV7110_singlets_B cells.fcs,B cells,CV7110,4.18300008773803,4.40299987792968,14.9750003814697,4.58300018310546,39.8969993591308,40.136001586914,18.9409999847412,98.1259994506836,0,10.9060001373291
151030_CGI002_CV7110_singlets_Basophils.fcs,Basophils,CV7110,13.1680002212524,2.29999995231628,9.07800006866455,1.39999997615814,17,2.49300003051757,20.4570007324218,103.445999145507,0.56300002336502,38.8610000610351
151030_CGI002_CV7110_singlets_CD1c DCs.fcs,CD1c DCs,CV7110,10.1260004043579,11.1709995269775,71.1080017089843,8.32600021362304,86.3619995117187,95.3430023193359,89.8740005493164,393.325988769531,4.1890001296997,246.97900390625
151030_CGI002_CV7110_singlets_CD4 T cells.fcs,CD4 T Cells,CV7110,5.33199977874755,3.22299993038177,13.1219997406005,3.54350006580352,32.6484985351562,28.602499961853,51.1940002441406,96.1624984741211,0.120499998331069,1.44400000572204
151030_CGI002_CV7110_singlets_CD8 T cells.fcs,CD8 T cells,CV7110,5.39400005340576,3.37899994850158,13.4049997329711,2.92899990081787,34.466999053955,31.6019992828369,50.4039993286132,105.251998901367,0.323000013828277,2.33699989318847
151030_CGI002_CV7110_singlets_NK cells.fcs,NK cells,CV7110,8.36299991607666,6.32499980926513,13.5644998550415,4.4854998588562,35.9500007629394,77.8610000610351,30.432499885559,118.435497283935,4.94300007820129,1.1700000166893
151030_CGI002_CV7110_singlets_NKT cells.fcs,NKT cells,CV7110,5.26300001144409,4.13050007820129,11.5829997062683,3.10850000381469,28.4519996643066,45.8050003051757,24.4064998626709,88.0074996948242,6.05049991607666,1.30599999427795
151030_CGI002_CV7110_singlets_pDCs.fcs,pDCs,CV7110,7.66900014877319,6.10599994659423,29.8369998931884,5.47599983215332,62.9650001525878,56.125,34.4640007019043,262.316009521484,0,60.4309997558593
151030_CGI002_CV7111_singlets_CD14+ monocytes.fcs,CD14 monocytes,CV7111,14.201000213623,15.2829999923706,72.1289978027343,11.4280004501342,91.5979995727539,82.0029983520507,24.7800006866455,356.81900024414,9.97700023651123,123.86799621582
151030_CGI002_CV7111_singlets_CD16+ monocytes.fcs,CD16 monocytes,CV7111,11.7740001678466,17.9190006256103,32.6949996948242,11.7159996032714,52.136001586914,113.03800201416,15.418999671936,155.679992675781,0.0930000022053718,4.93599987030029
151030_CGI002_CV7111_singlets_B cells.fcs,B cells,CV7111,3.80200004577636,2.50399994850158,16.5419998168945,3.79600000381469,38.1860008239746,31.1940002441406,19.4899997711181,78.1500015258789,0,7.8289999961853
151030_CGI002_CV7111_singlets_Basophils.fcs,Basophils,CV7111,8.96700000762939,1.692999958992,9.23299980163574,1.26499998569488,12.8839998245239,2.1489999294281,20.4780006408691,75.5309982299804,1.08500003814697,34.3209991455078
151030_CGI002_CV7111_singlets_CD1c DCs.fcs,CD1c DCs,CV7111,8.12100028991699,8.1899995803833,70.1029968261718,6.14599990844726,83.6559982299804,70.8320007324218,91.1060028076171,398.592010498046,5.40100002288818,188.460006713867
151030_CGI002_CV7111_singlets_CD4 T cells.fcs,CD4 T Cells,CV7111,4.26900005340576,2.07999992370605,14.2150001525878,2.81299996376037,31.0020008087158,21.9909992218017,50.5289993286132,77.9489974975586,0,0.790000021457672
151030_CGI002_CV7111_singlets_CD8 T cells.fcs,CD8 T cells,CV7111,4.09999990463256,2.010999917984,13.7749996185302,1.94500005245208,32.3409996032714,23.5200004577636,49.8559989929199,87.4120025634765,0.0089999996125698,1.48099994659423
151030_CGI002_CV7111_singlets_NK cells.fcs,NK cells,CV7111,5.93799996376037,3.95050001144409,13.753999710083,2.91499996185302,33.3485012054443,63.8155002593994,29.0795001983642,100.12149810791,4.5954999923706,0.670500010251998
151030_CGI002_CV7111_singlets_NKT cells.fcs,NKT cells,CV7111,3.6800000667572,2.50799989700317,11.6000003814697,2.26799988746643,24.6650009155273,38.4160003662109,22.6490001678466,71.208999633789,5.09899997711181,0.736000001430511
151030_CGI002_CV7111_singlets_pDCs.fcs,pDCs,CV7111,5.91650009155273,4.11600017547607,31.1210002899169,4.6414999961853,60.8544998168945,49.0410003662109,26.7230005264282,217.634994506835,0,29.8575000762939
151030_CGI002_HD1_singlets_CD14+ monocytes.fcs,CD14 monocytes,HD1,14.7220001220703,12.6550002098083,40.1875,12.7290000915527,71.7040023803711,92.5389976501464,24.3949995040893,271.315505981445,1.75,52.9535007476806
151030_CGI002_HD1_singlets_CD16+ monocytes.fcs,CD16 monocytes,HD1,13.2154998779296,20.7399997711181,29.3780002593994,14.0044999122619,57.3800010681152,138.813499450683,14.7840003967285,144.128997802734,0,2.83599996566772
151030_CGI002_HD1_singlets_B cells.fcs,B cells,HD1,4.35000014305114,2.87750005722045,15.0285000801086,4.12549996376037,40.7080001831054,29.2385005950927,19.1445007324218,60.0345001220703,0,6.12299990653991
151030_CGI002_HD1_singlets_Basophils.fcs,Basophils,HD1,11.4829998016357,1.31400001049041,7.7519998550415,2.26900005340576,12.2849998474121,2.42700004577636,24.0030002593994,87.9489974975586,0,35.7190017700195
151030_CGI002_HD1_singlets_CD1c DCs.fcs,CD1c DCs,HD1,10.3760004043579,6.09499979019165,40.7389984130859,8.11900043487548,76.5719985961914,68.427001953125,83.6210021972656,256.190002441406,0.731999993324279,12.2399997711181
151030_CGI002_HD1_singlets_CD4 T cells.fcs,CD4 T Cells,HD1,4.37799978256225,1.66999995708465,13.5179996490478,2.99300003051757,33.9239997863769,20.0109996795654,51.2970008850097,71.8550033569336,0,0.187999993562698
151030_CGI002_HD1_singlets_CD8 T cells.fcs,CD8 T cells,HD1,4.12099981307983,1.69000005722045,13.5299997329711,2.25200009346008,34.398998260498,21.2600002288818,51.3930015563964,83.5260009765625,0.0949999988079071,0.847999989986419
151030_CGI002_HD1_singlets_NK cells.fcs,NK cells,HD1,6.03900003433227,3.51500010490417,13.4930000305175,3.32200002670288,34.9099998474121,58.1030006408691,30.6070003509521,101.704002380371,4.59800004959106,0.372999995946884
151030_CGI002_HD1_singlets_NKT cells.fcs,NKT cells,HD1,4.14499998092651,2.16199994087219,11.1490001678466,2.71799993515014,27.7469997406005,35.511001586914,22.708999633789,73.1340026855468,5.7849998474121,0.296000003814697
151030_CGI002_HD1_singlets_pDCs.fcs,pDCs,HD1,6.73999977111816,5.14400005340576,38.474998474121,4.68599987030029,60.8110008239746,49.0779991149902,44.9259986877441,226.276992797851,0.189999997615814,21.6909999847412
151030_CGI002_HD2_singlets_CD14+ monocytes.fcs,CD14 monocytes,HD2,14.5929999351501,13.5159997940063,42.5694999694824,13.829999923706,72.1240005493164,94.3199996948242,26.0225000381469,273.823013305664,2.10300004482269,54.6695003509521
151030_CGI002_HD2_singlets_CD16+ monocytes.fcs,CD16 monocytes,HD2,14.2980003356933,18.3090000152587,32.7799987792968,14.9569997787475,55.2929992675781,126.190002441406,16.5030002593994,152.95799255371,0,3.11899995803833
151030_CGI002_HD2_singlets_B cells.fcs,B cells,HD2,4.34000015258789,2.77500009536743,15.6059999465942,4.28700017929077,38.0359992980957,28.2350006103515,18.402000427246,61.7989997863769,0,5.71899986267089
151030_CGI002_HD2_singlets_Basophils.fcs,Basophils,HD2,11.6899995803833,1.82000005245208,7.5640001296997,1.76400005817413,12.3649997711181,3.68700003623962,23.587999343872,85.1129989624023,0,31.3850002288818
151030_CGI002_HD2_singlets_CD1c DCs.fcs,CD1c DCs,HD2,8.23400020599365,6.7519998550415,46.4259986877441,6.10099983215332,75.458999633789,67.3399963378906,87.8649978637695,257.914001464843,0.356999993324279,13.1450004577636
151030_CGI002_HD2_singlets_CD4 T cells.fcs,CD4 T Cells,HD2,4.14599990844726,1.78600001335144,13.9930000305175,3.0239999294281,32.2379989624023,19.648000717163,51.3985004425048,71.7094993591308,0,0.0995000004768371
151030_CGI002_HD2_singlets_CD8 T cells.fcs,CD8 T cells,HD2,4.23000001907348,1.68499994277954,14.1549997329711,2.19600009918212,33.8969993591308,20.5300006866455,52.0960006713867,82.6740036010742,0.050000000745058,0.767000019550323
151030_CGI002_HD2_singlets_NK cells.fcs,NK cells,HD2,5.85400009155273,3.62299990653991,14.112000465393,3.07299995422363,34.7560005187988,57.8520011901855,29.6830005645751,99.0029983520507,4.52699995040893,0.441000014543533
